stopTag,title,lat,lon,stopId
1410400,Transbay Temp Terminal,37.7900999,-122.39384,50747
0600300,Christie St & Lyons Restaurant,37.83743,-122.2944899,58617
0601060,Shellmound St & Bay St,37.83335,-122.2936399,51697
0600920,40th St & Horton St,37.82944,-122.28727,52257
0600050,40th St & Hollis St,37.8299,-122.28488,50577
0600030,40th St & Harlan St,37.83019,-122.28345,56771
0600010,40th St & Emery St,37.83061,-122.28132,54855
0600980,40th St & San Pablo Av,37.8310299,-122.27937,50927
1015750,Market St & 40th St,37.83089,-122.27378,56477
1015770,Market St & 43rd St,37.83296,-122.27326,52237
1015790,Market St & 45th St,37.83434,-122.27291,51104
1015810,Market St & 47th St,37.8358299,-122.27312,50338
1015830,Market St & 53rd St,37.8373999,-122.27344,52337
1015840,Market St & 55th St,37.8391399,-122.27379,58118
1015930,Market St & Arlington Av,37.8422299,-122.27446,58528
1015870,Market St & 59th St,37.8440899,-122.27491,53737
1019850,Stanford Av & King St,37.84598,-122.27285,54688
0300320,Adeline St & Alcatraz Av,37.84911,-122.27109,52252
0300370,Adeline St & Fairview St,37.8509999,-122.27048,59928
0300360,Adeline St & Ashby BART Station,37.8529099,-122.26954,59918
0300340,Adeline St & Ashby Av,37.85542,-122.26862,53327
0300390,Adeline St & Oregon St,37.85776,-122.26773,57220
0300430,Adeline St & Ward St,37.85894,-122.26733,59578
0304880,Shattuck Av & Derby St,37.86028,-122.26692,59985
0304980,Shattuck Av & Parker St,37.86209,-122.267,50151
0304910,Shattuck Av & Dwight Way,37.8639099,-122.26722,55452
0304950,Shattuck Av & Haste St,37.8651099,-122.26737,51300
0304900,Shattuck Av & Durant Av,37.8666,-122.26752,52155
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
0304840,Shattuck Sq & Center St (Berkeley BART Sta,37.87019,-122.26773,55559
0305050,Shattuck Av & University Av,37.8725399,-122.26832,57776
309902350,Hearst Av & Shattuck Av,37.8738699,-122.26794,
