stopTag,title,lat,lon,stopId
9903830,10th St & Washington St,37.8022499,-122.27446,51636
1000370,11th St & Clay St,37.80296,-122.2744599,59444
1006320,Broadway & 12th St (12th St BART Station),37.8028099,-122.27201,51111
1006380,Broadway & 14th St,37.8048019,-122.2708686,52111
1006420,Broadway & 17th St (19th St BART Station),37.80651,-122.26971,53335
1006440,Broadway & 19th St (19th St BART Station),37.808,-122.26876,51155
1031030,Thomas L Berkley Way (20th St) & Telegraph,37.8095899,-122.26941,57999
1030870,Telegraph Av & 24th St,37.81409,-122.26836,59991
9903810,Telegragh Av & 27th St,37.81653,-122.2677,51634
1020060,Telegraph Av & 29th St,37.81805,-122.26733,51331
1020080,Telegraph Av & 31st St,37.82031,-122.26671,57722
1020100,Telegraph Av & 34th St,37.82229,-122.26619,56161
1020120,Telegraph Av & 36th St,37.82437,-122.26563,52774
1020140,Telegraph Av & 38th St,37.82688,-122.26496,55375
1020160,Telegraph Av & 40th St,37.8294899,-122.26421,56665
1020190,Telegraph Av & 43rd St,37.83183,-122.26363,55161
1020220,Telegraph Av & 46th St,37.83357,-122.26315,55258
9904110,Telegraph Av & 49th St,37.83588,-122.26254,51734
1020420,Telegraph Av & Claremont Av,37.83846,-122.26203,56646
1020270,Telegraph Av & 55th St,37.84005,-122.26181,51815
1020370,Telegraph Av & Aileen St,37.84169,-122.26157,55649
1030980,Telegraph Av & 59th St.,37.84528,-122.26108,55002
1020320,Telegraph Av & 62nd St,37.84786,-122.26072,55136
1030550,Telegraph Av & Alcatraz Av,37.8504699,-122.26039,57788
0305560,Telegraph Av & Prince St,37.85362,-122.25994,58220
0305630,Telegraph Av & Webster St,37.85511,-122.25972,51114
0305460,Telegraph Av & Ashby Av,37.85597,-122.2596,57050
0305590,Telegraph Av & Russell St,37.85794,-122.25934,52424
0305600,Telegraph Av & Stuart St,37.85992,-122.25903,51005
0305490,Telegraph Av & Derby St,37.86161,-122.25882,51015
0305550,Telegraph Av & Parker St,37.86307,-122.2586,52250
0305520,Telegraph Av & Dwight Way,37.86499,-122.25836,57711
0305530,Telegraph Av & Haste St,37.8662899,-122.25861,51244
0305500,Telegraph Av & Durant Av,37.8680096,-122.2590321,55609
0301180,Bancroft Way & Telegraph Av,37.8686499,-122.2602499,56888
0301130,Bancroft Way & Dana St,37.8684599,-122.2619099,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0302650,Fulton St & Kittredge St,37.86883,-122.2661599,52280
309904000,Oxford St & Addison St,37.8713399,-122.26581,
