stopTag,title,lat,lon,stopId
0301180,Bancroft Way & Telegraph Av,37.8686499,-122.26025,56888
0301130,Bancroft Way & Dana St,37.8684599,-122.2619099,55593
0306530,Bancroft Way & Ellsworth St,37.8681699,-122.2640799,54655
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
0306210,Shattuck Sq & Center St,37.87076,-122.26766,55551
0306650,University Av & Shattuck Av,37.8721999,-122.26878,50444
0305980,University Av & Martin Luther King Jr Way,37.8716999,-122.2728699,57557
0305940,University Av & Grant St,37.8714099,-122.2751699,58851
9903620,University Av & California St,37.8707399,-122.2802799,51583
0306040,University Av & Sacramento St,37.8705899,-122.2816299,55722
0304260,Sacramento St & Hearst Av,37.87201,-122.28199,52589
0306740,Sacramento St & Delaware St,37.87333,-122.28215,50604
0304370,Sacramento St & Virginia St,37.8751299,-122.28234,53254
0301460,Cedar St & Sacramento St,37.8766899,-122.2830199,55241
0301270,Cedar St & Acton St,37.8764099,-122.2852799,57156
0301320,Cedar St & Cedar Rose Park,37.8762199,-122.2872499,58432
0301350,Cedar St & Cornell Av,37.8756399,-122.2913499,54501
0301480,Cedar St & San Pablo Av,37.8753599,-122.2939,55327
0304630,San Pablo Av & Page St,37.8777699,-122.29481,52273
0304550,San Pablo Av & Gilman St,37.8808299,-122.29578,55100
0304580,San Pablo Av & Harrison St,37.8826499,-122.29637,52271
9904240,Monroe Av & 10th St,37.8843699,-122.29886,51768
9904250,Monroe Av & Jackson St,37.8842299,-122.2995299,51769
0200780,Jackson St & Ohlone St,37.88544,-122.30018,50529
0200200,Ohlone Dr & #956,37.8855299,-122.3013,55990
0200760,Ohlone Av & West End Way,37.8847299,-122.3050099,54440
0200770,Red Oak Av & Kinkead Way,37.88293,-122.30291,55115
0200120,Jackson St & 8th St,37.88345,-122.29998,55448
309904270,Monroe Av & 10th St,37.8842699,-122.29851,
