stopTag,title,lat,lon,stopId
1031560,Alice St & 2nd St,37.7944199,-122.27155,50292
1009850,Embarcadero W & Franklin St,37.7950899,-122.2758,57466
1006770,Broadway & Embarcadero W,37.79557,-122.27653,55344
1006620,Broadway & 3rd St,37.79658,-122.27588,59393
1006710,Broadway & 7th St,37.79969,-122.27394,57333
1030330,Broadway & 9th St,37.80113,-122.27306,55711
1006320,Broadway & 12th St (12th St BART Station),37.80281,-122.27201,51111
1006350,Broadway & 13th St (12th St BART Station),37.8038499,-122.27134,56789
1006420,Broadway & 17th St (19th St BART Station),37.80651,-122.26971,53335
1006450,Broadway & 20th St (19th St BART Station),37.80932,-122.26794,57111
1031780,Broadway & 22nd St,37.81081,-122.26702,50403
1011880,Grand Ave & Webster St,37.81111,-122.2650799,52899
1011690,Grand Av & Harrison St,37.81074,-122.2629599,51099
1011810,Grand Av & Park View Ter,37.80986,-122.2596899,58185
1011820,Grand Av & Perkins St,37.80887,-122.2563899,55144
1011850,Grand Av & Staten Av,37.80869,-122.2540699,56442
1030950,Grand Av & Euclid Av,37.80848,-122.2514299,52247
9903570,Grand Av & El Embarcadero,37.8094699,-122.24939,51572
1011720,Grand Av & Lake Park Av,37.81122,-122.24791,55808
1011790,Grand Av & Mandana Blvd,37.81395,-122.24628,58158
1011890,Grand Av & Weldon Av,37.81624,-122.2454,50688
1011910,Grand Av & Wildwood Av,37.81864,-122.24463,55612
1100100,Grand Av & Fairview Av,37.82007,-122.24422,50680
1100400,Linda Av & Grand Av,37.8216999,-122.24417,54429
1100420,Linda Av & Lake Av,37.8241699,-122.24705,53980
1100440,Linda Av & Rose Av,37.8251799,-122.24788,53374
1014180,Linda Av & Glen Av,37.8263599,-122.24975,56702
1014190,Linda Av & Piedmont Av,37.8272299,-122.251,59597
1017820,Piedmont Av & Glenwood Av,37.82813,-122.25002,51336
1017790,Piedmont Av & Echo Av,37.82887,-122.24905,54009
1017770,Piedmont Av & Brandon St,37.82976,-122.24788,54006
1017960,Pleasant Valley Av & Montgomery St,37.8318299,-122.24907,56573
1017940,Pleasant Valley Av & Gilbert St,37.8338399,-122.25073,55357
1002800,51st St & Desmond St,37.8351499,-122.2533,52282
1002820,51st St & Manila Av,37.8360599,-122.25561,56346
1002840,51st St & Shafter Av,37.8367599,-122.25808,59540
1002830,51st St & Miles Av,37.8371499,-122.26035,58690
1002860,51st St & Telegraph Av,37.8373199,-122.26195,54476
1020420,Telegraph Av & Claremont Av,37.83846,-122.26203,56646
1003010,55th St & Telegraph Av,37.8403199,-122.26223,54348
1002980,55th St & Shattuck Av,37.8404999,-122.2649399,59937
1002970,55th St & Dover St,37.8402199,-122.2671299,56451
1032070,Mlk Jr Way & 55th St,37.8400599,-122.26954,50602
1016330,Martin Luther King Jr Way & Aileen St,37.8415899,-122.26985,55342
1016350,Martin Luther King Jr Way & Arlington Av,37.84264,-122.27009,59495
1016280,Martin Luther King Jr Way & 59th St,37.8441899,-122.2704,52425
1016310,Martin Luther King Jr Way & 61st St,37.8459799,-122.27077,55127
0300320,Adeline St & Alcatraz Av,37.84911,-122.27109,52252
0303650,Martin Luther King Jr Way & Prince St (Ash,37.8527099,-122.27077,52177
0303470,Martin Luther King Jr Way & Ashby Av (Ashb,37.8545599,-122.27101,55625
0303690,Martin Luther King Jr Way & Russell St,37.8563699,-122.27121,50544
0303700,Martin Luther King Jr Way & Stuart St,37.8581599,-122.27142,55239
0303560,Martin Luther King Jr Way & Derby St,37.85998,-122.27163,58825
0303630,Martin Luther King Jr Way & Parker St,37.8617799,-122.27183,50765
0303580,Martin Luther King Jr Way & Dwight Way,37.86359,-122.27203,51622
0303540,Martin Luther King Jr Way & Channing Way,37.86533,-122.27226,55924
0303480,Martin Luther King Jr Way & Bancroft Way,37.8671799,-122.27246,53457
0306460,Mlk Way & Allston Way,37.8684499,-122.27263,57837
0306560,Mlk Jr & University Av,37.8720299,-122.27299,51575
0303610,Martin Luther King Jr Way & Hearst Av,37.87362,-122.27317,57457
9904380,Mlk Jr Way & Virginia St,37.87651,-122.2735,51816
0303730,Martin Luther King Jr Way & Vine St,37.8798099,-122.27383,54890
0303670,Martin Luther King Jr Way & Rose St,37.8817081,-122.2741097,55167
0303510,Martin Luther King Jr Way & Berryman St,37.88352,-122.27426,56746
0303320,Hopkins St & The Alameda,37.8853399,-122.2751899,50336
0303230,Hopkins St & Beverly Pl,37.8843699,-122.2766899,55231
0303270,Hopkins St & Colusa Av,37.8829299,-122.2795799,50997
0303280,Hopkins St & Monterey Av,37.8818199,-122.28183,53536
0303220,Hopkins St & Albina Av,37.8805799,-122.2841599,55129
0302770,Gilman St & Ordway St,37.8807499,-122.2869,52977
0302750,Gilman St & Neilson St,37.8812399,-122.28897,53367
0302800,Gilman St & Santa Fe Av,37.8814899,-122.2911099,59545
0302720,Gilman St & Cornell Av,37.8810299,-122.2934199,51120
0306660,Gilman St & San Pablo Av,37.8804499,-122.2963699,54354
0302710,Gilman St & 8th St,37.8798999,-122.2990599,52052
9904280,Gilman St & 6th St,37.8793599,-122.3018399,51784
309904290,4th St & Harrison St,37.8805499,-122.30398,
