stopTag,title,lat,lon,stopId
1004170,8th St & Oak St (Lake Merritt BART Station,37.7971599,-122.26581,55833
1004150,8th St & Jackson St,37.7978699,-122.26763,58658
1004140,8th St & Harrison St,37.7990599,-122.27055,59222
1004130,8th St & Broadway,37.8001699,-122.27348,54222
1030330,Broadway & 9th St,37.80113,-122.27306,55711
1006400,Broadway & 14th St (12th St BART Station),37.8041699,-122.27119,58222
1006420,Broadway & 17th St (19th St BART Station),37.80651,-122.26971,53335
1006440,Broadway & 19th St (19th St BART Station),37.808,-122.26876,51155
1030020,Thomas L Berkley Way (20th St) & Telegraph,37.8094299,-122.26901,55558
1001300,Thomas L Berkley Way (20th St) & San Pablo,37.8102199,-122.27297,55770
1016020,Martin Luther King Jr Way & 22nd St,37.81161,-122.27304,58557
1016390,Martin Luther King Jr Way & W Grand Av,37.81276,-122.2726,57177
1016030,Martin Luther King Jr Way & 25th St,37.81516,-122.27199,51559
1016050,Martin Luther King Jr Way & 27th St,37.81684,-122.27158,55435
1016080,Martin Luther King Jr Way & 29th St,37.81901,-122.27105,54225
1016100,Martin Luther King Jr Way & 31st St,37.82046,-122.27068,58583
1016360,Martin Luther King Jr Way & Brockhurst St,37.82196,-122.27029,56996
1016120,Martin Luther King Jr Way & 34th St,37.82325,-122.26998,52121
1016140,Martin Luther King Jr Way & 36th St,37.82489,-122.26953,58411
1016400,Martin Luther King Jr Way & W Macarthur Bl,37.82691,-122.26905,58685
1016160,Martin Luther King Jr Way & 40th St,37.8301299,-122.26825,55977
1016180,Martin Luther King Jr Way & 42nd St,37.83135,-122.26793,50774
1016210,Martin Luther King Jr Way & 44th St,37.83277,-122.26758,55017
1016230,Martin Luther King Jr Way & 47th St,37.8349932,-122.2670591,51168
1016250,Martin Luther King Jr Way & 53rd St,37.8377899,-122.26869,55898
1031860,55th St & Mlk Jr Way,37.83975,-122.26921,50475
1002960,55th St & Dover St,37.83997,-122.26736,57345
1031680,Shattuck Av & 55th St,37.8406899,-122.26445,50267
1019240,Shattuck Av & Aileen St,37.8418899,-122.26465,55159
1019190,Shattuck Av & 59th St,37.8444399,-122.26499,56116
1019210,Shattuck Av & 61st St,37.84698,-122.26533,51135
1019260,Shattuck Av & Alcatraz Av,37.8493599,-122.26566,59099
0305100,Shattuck Av & Woolsey St,37.8522999,-122.26603,55453
0304810,Shattuck Av & Ashby Av,37.8551099,-122.26641,51101
0305000,Shattuck Av & Russell St,37.8569599,-122.26665,59799
0305020,Shattuck Av & Stuart St,37.85844,-122.26682,50255
0304880,Shattuck Av & Derby St,37.86028,-122.26692,59985
0304980,Shattuck Av & Parker St,37.86209,-122.267,50151
0304910,Shattuck Av & Dwight Way,37.8639099,-122.26722,55452
0304950,Shattuck Av & Haste St,37.8651099,-122.26737,51300
0304900,Shattuck Av & Durant Av,37.8666,-122.26752,52155
0304970,Shattuck Av & Kittredge St,37.86845,-122.26772,55585
0304840,Shattuck Sq & Center St (Berkeley BART Sta,37.8701899,-122.26773,55559
0305050,Shattuck Av & University Av,37.8725399,-122.26832,57776
0304850,Shattuck Av & Delaware St,37.87526,-122.26863,54588
0305080,Shattuck Av & Virginia St,37.8765199,-122.26875,57225
0304830,Shattuck Av & Cedar St,37.87834,-122.26897,51544
0305070,Shattuck Av & Vine St,37.88014,-122.26917,55652
0305120,Shattuck Pl & Rose St,37.8818699,-122.27011,59899
0303190,Henry St & Berryman St,37.88359,-122.27087,55180
0305420,Sutter St & Hopkins St,37.8884199,-122.27227,57740
0305210,Solano Av & The Alameda,37.8915499,-122.27751,51251
0305140,Solano Av & Colusa Av,37.8914399,-122.27969,55265
0305160,Solano Av & Ensenada Av,37.8913299,-122.28179,51922
0305190,Solano Av & Tacoma Av,37.8911899,-122.28406,52279
0305180,Solano Av & Peralta Av,37.8910899,-122.2859599,51233
0200710,Solano Av & Santa Fe Av,37.8908599,-122.28919,55905
0200670,Solano Av & Ramona Av,37.8907499,-122.2913299,51915
0200640,Solano Av & Masonic Av,37.8906899,-122.2934799,58977
0200600,Solano Av & Cornell Av,37.8905299,-122.2960199,55730
0200620,Solano Av & Kains Av,37.8903799,-122.2983199,55395
0200380,San Pablo Av & Buchanan St,37.8880999,-122.2984,57957
9902840,Jackson St & Ohlone Av,37.885,-122.3001199,51314
309904260,Monroe Av & Jackson St,37.8841599,-122.299,
